system,workload,stage,block_latency,classifier_latency
sys_EEMY,2_3_4_5_9_11,1,96766.0,11432.0
sys_EEMY,2_3_4_5_9_11,2,51456.0,19855.0
sys_EEMY,2_3_4_5_9_11,3,72190.0,19855.0
sys_EEMY,2_3_4_5_9_11,4,46335.0,34975.0
sys_EEMY,2_3_4_5_9_11,5,235129.0,55712.0
sys_EEMY,2_3_4_5_9_11,6,139274.0,213162.0
sys_EEMY,0_1_5_8_9_11,1,12160.0,9680.0
sys_EEMY,0_1_5_8_9_11,2,32768.0,20427.0
sys_EEMY,0_1_5_8_9_11,3,221819.0,34975.0
sys_EEMY,0_1_5_8_9_11,4,180986.0,77026.0
sys_EEMY,0_1_5_8_9_11,5,54143.0,55759.0
sys_EEMY,0_1_5_8_9_11,6,139274.0,213162.0
sys_EEMY,2_3_4_5_6_9_11,1,96766.0,11432.0
sys_EEMY,2_3_4_5_6_9_11,2,51456.0,35947.0
sys_EEMY,2_3_4_5_6_9_11,3,72190.0,19855.0
sys_EEMY,2_3_4_5_6_9_11,4,46335.0,34975.0
sys_EEMY,2_3_4_5_6_9_11,5,44287.0,34975.0
sys_EEMY,2_3_4_5_6_9_11,6,190842.0,55759.0
sys_EEMY,2_3_4_5_6_9_11,7,139274.0,213162.0
sys_EEYY,6_11,1,311034.0,34975.0
sys_EEYY,6_11,2,330116.0,213162.0
sys_EEYY,2_8_11,1,96766.0,11432.0
sys_EEYY,2_8_11,2,357111.0,77026.0
sys_EEYY,2_8_11,3,195977.0,213162.0
sys_EEYY,0_4_5_7_11,1,12160.0,5319.0
sys_EEYY,0_4_5_7_11,2,208252.0,19855.0
sys_EEYY,0_4_5_7_11,3,46335.0,34975.0
sys_EEYY,0_4_5_7_11,4,96510.0,77026.0
sys_EEYY,0_4_5_7_11,5,277893.0,213162.0
sys_EEYY,2_3_4_5_9_11,1,96057.0,11432.0
sys_EEYY,2_3_4_5_9_11,2,51456.0,19855.0
sys_EEYY,2_3_4_5_9_11,3,72190.0,19855.0
sys_EEYY,2_3_4_5_9_11,4,46335.0,34975.0
sys_EEYY,2_3_4_5_9_11,5,235129.0,55712.0
sys_EEYY,2_3_4_5_9_11,6,139274.0,213162.0
sys_EEYY,0_1_5_8_9_11,1,12160.0,9680.0
sys_EEYY,0_1_5_8_9_11,2,32768.0,20427.0
sys_EEYY,0_1_5_8_9_11,3,221819.0,34975.0
sys_EEYY,0_1_5_8_9_11,4,180986.0,77026.0
sys_EEYY,0_1_5_8_9_11,5,54143.0,55712.0
sys_EEYY,0_1_5_8_9_11,6,139274.0,213162.0
sys_EEYY,2_3_4_5_6_9_11,1,96766.0,11432.0
sys_EEYY,2_3_4_5_6_9_11,2,51456.0,35947.0
sys_EEYY,2_3_4_5_6_9_11,3,72190.0,19855.0
sys_EEYY,2_3_4_5_6_9_11,4,46335.0,34975.0
sys_EEYY,2_3_4_5_6_9_11,5,44287.0,34975.0
sys_EEYY,2_3_4_5_6_9_11,6,197457.0,55712.0
sys_EEYY,2_3_4_5_6_9_11,7,139274.0,213162.0
sys_EYYY,6_11,1,329975.0,34975.0
sys_EYYY,6_11,2,346408.0,213162.0
sys_EYYY,2_8_11,1,96057.0,11432.0
sys_EYYY,2_8_11,2,379139.0,77039.0
sys_EYYY,2_8_11,3,203094.0,213162.0
sys_EYYY,0_4_5_7_11,1,12136.0,5319.0
